order_id,order_date,city,channel,category,product,units_sold,unit_price,discount_pct
1001,2026-01-02,Delhi,Online,Electronics,Wireless Mouse,4,799,10
1002,2026-01-02,Mumbai,Offline,Groceries,Olive Oil 1L,8,499,5
1003,2026-01-03,Bengaluru,Online,Home,Desk Lamp,3,1199,15
1004,2026-01-03,Delhi,Offline,Fashion,Casual T-Shirt,6,699,20
1005,2026-01-04,Hyderabad,Online,Electronics,Bluetooth Speaker,2,2499,10
1006,2026-01-04,Chennai,Offline,Groceries,Almonds 500g,5,899,8
1007,2026-01-05,Pune,Online,Home,Storage Box Set,7,549,0
1008,2026-01-05,Kolkata,Offline,Fashion,Running Shoes,2,2999,12
1009,2026-01-06,Delhi,Online,Electronics,USB-C Charger,9,999,5
1010,2026-01-06,Mumbai,Offline,Home,Kitchen Organizer,4,1299,10
1011,2026-01-07,Bengaluru,Online,Fashion,Denim Jacket,2,3499,18
1012,2026-01-07,Hyderabad,Offline,Groceries,Green Tea Pack,10,299,0
1013,2026-01-08,Chennai,Online,Electronics,Smart Watch,1,6999,7
1014,2026-01-08,Pune,Offline,Home,Wall Clock,5,899,5
1015,2026-01-09,Kolkata,Online,Groceries,Protein Bars,12,149,0
1016,2026-01-09,Delhi,Offline,Fashion,Backpack,3,1999,10
1017,2026-01-10,Mumbai,Online,Electronics,Portable SSD,2,5499,12
1018,2026-01-10,Bengaluru,Offline,Home,Water Bottle Set,8,399,0
1019,2026-01-11,Hyderabad,Online,Fashion,Sunglasses,4,1599,15
1020,2026-01-11,Chennai,Offline,Groceries,Coffee Beans 1kg,3,1299,6
1021,2026-01-12,Pune,Online,Home,Bedside Table,2,2799,10
1022,2026-01-12,Kolkata,Offline,Electronics,Keyboard,5,1499,8
1023,2026-01-13,Delhi,Online,Groceries,Honey 500g,6,399,0
1024,2026-01-13,Mumbai,Offline,Fashion,Formal Shirt,4,1799,20
1025,2026-01-14,Bengaluru,Online,Home,Curtains,3,1899,10
1026,2026-01-14,Hyderabad,Offline,Electronics,Power Bank,6,1299,5
1027,2026-01-15,Chennai,Online,Fashion,Sports Cap,7,599,0
1028,2026-01-15,Pune,Offline,Groceries,Oats 1kg,9,349,0
1029,2026-01-16,Kolkata,Online,Electronics,Webcam,3,2299,10
1030,2026-01-16,Delhi,Offline,Home,Floor Mat,5,799,5
